127.0.0.1 - - [21/Jul/2023:09:35:45 +0900] "GET / HTTP/1.1" 404 807
192.168.0.122 - - [21/Jul/2023:09:37:10 +0900] "POST /middle/file.f HTTP/1.1" 200 2
192.168.0.122 - - [21/Jul/2023:09:37:58 +0900] "POST /middle/file.f HTTP/1.1" 200 2
192.168.0.122 - - [21/Jul/2023:09:52:32 +0900] "GET /middle/file.f HTTP/1.1" 500 5003
192.168.0.122 - - [21/Jul/2023:09:52:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.122 - - [21/Jul/2023:09:52:50 +0900] "GET /middle/img/andimg.jpg HTTP/1.1" 200 88379
192.168.0.122 - - [21/Jul/2023:09:52:54 +0900] "GET /middle/img/andimg.jpg HTTP/1.1" 304 -
192.168.0.122 - - [21/Jul/2023:09:56:23 +0900] "POST /middle/file.f HTTP/1.1" 200 2
192.168.0.122 - - [21/Jul/2023:09:56:27 +0900] "GET /middle/img/andimg.jpg HTTP/1.1" 200 63906
